Date,Q
2011-01-01,0.71619427784375
2011-01-02,0.6515622710729166
2011-01-03,0.5954768674895833
2011-01-04,0.5531093531041666
2011-01-05,0.5101004562604167
2011-01-06,0.47921602039583333
2011-01-07,0.4611294763854166
2011-01-08,0.5690998253958334
2011-01-09,0.5123793861770833
2011-01-10,0.5552336641041666
2011-01-11,0.6839112785833333
2011-01-12,0.6980284462187499
2011-01-13,0.6689243566249999
2011-01-14,0.6175093268541666
2011-01-15,0.5841532171666667
2011-01-16,0.53908217275
2011-01-17,0.5007162938020834
2011-01-18,0.46822922960416663
2011-01-19,0.44519345754166667
2011-01-20,0.4215125734166667
2011-01-21,0.4023589545520833
2011-01-22,0.38392095129166665
2011-01-23,0.36778365309375
2011-01-24,0.3533747288854167
2011-01-25,0.3412053898333333
2011-01-26,0.33227295025
2011-01-27,0.3223337199583333
2011-01-28,0.3113656233854167
2011-01-29,0.30152992919791666
2011-01-30,0.291788812125
2011-01-31,0.28325405929166664
2011-02-01,0.2745699879479167
2011-02-02,0.26623553141666667
2011-02-03,0.2576438771875
2011-02-04,0.25021020889583334
2011-02-05,0.24370322
2011-02-06,0.23715754652083332
2011-02-07,0.23127056570833335
2011-02-08,0.22643555211458333
2011-02-09,0.22152055832291664
2011-02-10,0.20715607342708334
2011-02-11,0.17459886267708333
2011-02-12,0.17135492230208335
2011-02-13,0.16824449704166666
2011-02-14,0.16494698083333334
2011-02-15,0.16195760790625
2011-02-16,0.16954393004166668
2011-02-17,0.17555229788541668
2011-02-18,0.17524234754166668
2011-02-19,0.17269077705208333
2011-02-20,0.16902454764583333
2011-02-21,0.16643581460416665
2011-02-22,0.16298290786458333
2011-02-23,0.15938012616666666
2011-02-24,0.15549739506250002
2011-02-25,0.15287946430208335
2011-02-26,0.15059487883333333
2011-02-27,0.15003802095833332
2011-02-28,0.1516225663125
2011-03-01,0.1496102664375
2011-03-02,0.1486686030625
2011-03-03,0.14570590619791665
2011-03-04,0.1444606663125
2011-03-05,0.14750878829166666
2011-03-06,0.14793834226041666
2011-03-07,0.14526446526041667
2011-03-08,0.14149198611458333
2011-03-09,0.13936540580208331
2011-03-10,0.13845788258333333
2011-03-11,0.13757151310416668
2011-03-12,0.137946778375
2011-03-13,0.14351182227083334
2011-03-14,0.16452611198958333
2011-03-15,0.18284732770833334
2011-03-16,4.885088379479167
2011-03-17,3.872055210614583
2011-03-18,2.4590646840833332
2011-03-19,1.5740136198854167
2011-03-20,1.148054350625
2011-03-21,0.9175205194166667
2011-03-22,0.76570009903125
2011-03-23,0.6413069378124999
2011-03-24,0.5401511993854167
2011-03-25,0.4910170553541667
2011-03-26,0.4629059933958333
2011-03-27,0.44107069479166666
